CHSA_Name,Facility,CHSA.Facility,duration,distance,chsa.long,chsa.lat,hosp.long,hosp.lat,dist.hav,CHSA_CD,CHSA_Title,CHSA_TITLE,LHA_CD,LHA_Name,LHA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_CLASS,CHSA_Pop2021,CHSA_AreaKm2,UR,service_type,appt_time,parking_cost,subunit_LP,subunit_IC,subunit_OOP,unit_cost
100 Mile House,100 Mile District General Hospital,100 Mile House - 100 Mile District General Hospital,0.1487777777777778,7.1854,-121.24515974078,51.6298144284161,-121.292384,51.638711,3.409885073894932,1440,1440 100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,1,1 IHA,Interior,1 Interior,6 - Rural,14896,10958.6206472,Rural,MD,0.76,3,27.754073333333334,13.877036666666667,6.448992,48.080102
100 Mile House,100 Mile District General Hospital,100 Mile House - 100 Mile District General Hospital,0.1487777777777778,7.1854,-121.24515974078,51.6298144284161,-121.292384,51.638711,3.409885073894932,1440,1440 100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,1,1 IHA,Interior,1 Interior,6 - Rural,14896,10958.6206472,Rural,ED_CTAS_1,3.9,4.5,123.64967333333333,61.82483666666666,22.948992,208.42350199999998
100 Mile House,100 Mile District General Hospital,100 Mile House - 100 Mile District General Hospital,0.1487777777777778,7.1854,-121.24515974078,51.6298144284161,-121.292384,51.638711,3.409885073894932,1440,1440 100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,1,1 IHA,Interior,1 Interior,6 - Rural,14896,10958.6206472,Rural,ED_CTAS_4,2.7,4.5,87.00167333333333,43.500836666666665,22.948992,153.451502
100 Mile House,100 Mile District General Hospital,100 Mile House - 100 Mile District General Hospital,0.1487777777777778,7.1854,-121.24515974078,51.6298144284161,-121.292384,51.638711,3.409885073894932,1440,1440 100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,1,1 IHA,Interior,1 Interior,6 - Rural,14896,10958.6206472,Rural,Hosp,53.6,12,1641.4876733333335,820.7438366666668,60.448992,2522.6805020000006
100 Mile House,100 Mile District General Hospital,100 Mile House - 100 Mile District General Hospital,0.1487777777777778,7.1854,-121.24515974078,51.6298144284161,-121.292384,51.638711,3.409885073894932,1440,1440 100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,1,1 IHA,Interior,1 Interior,6 - Rural,14896,10958.6206472,Rural,Virtual,0.62,NA,18.9348,9.4674,1.25,29.6522
Abbotsford Rural,Abbotsford Regional Hospital and Cancer Centre,Abbotsford Rural - Abbotsford Regional Hospital and Cancer Centre,0.29011111111111115,11.5754,-122.296571643605,49.0681832888709,-122.313003,49.038152,3.551488387156663,2134,2134 Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,2,2 FHA,Fraser,2 Fraser,6 - Rural,27150,299.722444707,Rural,MD,0.76,3,32.070393333333335,16.035196666666668,8.556192,56.661782
Abbotsford Rural,Abbotsford Regional Hospital and Cancer Centre,Abbotsford Rural - Abbotsford Regional Hospital and Cancer Centre,0.29011111111111115,11.5754,-122.296571643605,49.0681832888709,-122.313003,49.038152,3.551488387156663,2134,2134 Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,2,2 FHA,Fraser,2 Fraser,6 - Rural,27150,299.722444707,Rural,ED_CTAS_1,3.9,7.5,127.96599333333333,63.982996666666665,28.056192,220.005182
Abbotsford Rural,Abbotsford Regional Hospital and Cancer Centre,Abbotsford Rural - Abbotsford Regional Hospital and Cancer Centre,0.29011111111111115,11.5754,-122.296571643605,49.0681832888709,-122.313003,49.038152,3.551488387156663,2134,2134 Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,2,2 FHA,Fraser,2 Fraser,6 - Rural,27150,299.722444707,Rural,ED_CTAS_4,2.7,7.5,91.31799333333333,45.65899666666667,28.056192,165.033182
Abbotsford Rural,Abbotsford Regional Hospital and Cancer Centre,Abbotsford Rural - Abbotsford Regional Hospital and Cancer Centre,0.29011111111111115,11.5754,-122.296571643605,49.0681832888709,-122.313003,49.038152,3.551488387156663,2134,2134 Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,2,2 FHA,Fraser,2 Fraser,6 - Rural,27150,299.722444707,Rural,Hosp,53.6,16.5,1645.8039933333332,822.9019966666666,67.05619200000001,2535.762182
Abbotsford Rural,Abbotsford Regional Hospital and Cancer Centre,Abbotsford Rural - Abbotsford Regional Hospital and Cancer Centre,0.29011111111111115,11.5754,-122.296571643605,49.0681832888709,-122.313003,49.038152,3.551488387156663,2134,2134 Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,2,2 FHA,Fraser,2 Fraser,6 - Rural,27150,299.722444707,Rural,Virtual,0.62,NA,18.9348,9.4674,1.25,29.6522
