community_name,Encounters 0-14,Encounters 15-64,Encounters 65+
100 Mile House,4,46,16
Agassiz/Seabird Island Band,2,17,5
Ahousaht/Hesquiaht First Nation,0,3,0
Alert Bay/Namgis First Nation,1,19,6
Alexandria/Alexandria Indian Band/?Esdilagh,0,8,3
Alexis Creek/Tl'etinqox-Tin Government/Yeneskit'in Government/Yunest'in,12,279,106
Anahim Lake/Ulkatcho First Nation,150,2054,751
Ashcroft,2,17,5
Atlin/Taku River Tlingit First Nation,74,916,333
Bamfield,43,645,238
Barriere/Simpcw First Nation,0,1,0
Bella Bella/Waglisla/Heiltsuk,12,135,49
Bella Coola/Nuxalk Nation,5,52,18
Burns Lake,5,65,24
Campbell River,0,3,1
Canim Lake/Canim Lake Band,0,1,0
Canoe Creek Band/Dog Creek/Esk'etemc First Nation,0,1,0
Castlegar,0,7,3
Chemainus/Halalt First Nation/Lyackson First Nation,0,9,4
Cheslatta Carrier,0,1,0
Chetwynd,12,107,37
Clearwater,6,77,28
Clinton/Highbar First Nations,0,1,0
Comox/K'omoks First Nation,0,1,0
Cortes Island/Klahoose First Nation,0,3,1
Cowichan/Cowichan Band,0,1,0
Cranbrook,0,10,4
Crescent Valley,0,2,0
Creston/Lower Kootenay Band,4,63,24
Daajing Giids / Queen Charlotte,4,50,18
Dawson Creek,9,83,28
Dease Lake,1,21,7
Fernie,1,14,5
Fort Babine,0,2,1
Fort Nelson/Fort Nelson First Nation,8,94,34
Fort St James,2,33,12
Fort St. John,2,32,11
Fraser Lake,2,22,9
Gabriola Island,0,5,0
Galiano Island,3,33,12
Gibsons,0,1,0
Gilford Island/ Kwikwasut'inuxw Haxwa'mis,0,1,0
Gitlaxt'aamiks / New Aiyansh,2,36,13
Gitxsan / Glen Vowell (Sik-e-dakh),1,21,8
Gold River/Mowachaht-Muchalaht First Nation,0,16,4
Golden,1,13,4
Grand Forks,0,5,1
Granisle,0,2,1
Grassy Plains,0,5,2
Greenville/Nisga'a Village of Laxgalt'sap,0,11,4
Gwa'sala-'Nakwaxda'wx,0,3,0
Hartley Bay / Gitga'at,55,765,280
Hazelton/Gitanmaax Band,2,36,13
Hope,0,6,2
Hornby Island,1,18,6
Houston,0,6,3
Hudson's Hope/ West Moberly First Nations,0,1,0
Invermere,0,6,2
Iskut,2,25,9
Kaslo,0,7,2
Keremeos,0,8,3
Kincolith/ Nisga'a Village of Gingolx,0,5,0
Kingcome/ Dzawada'enuxw First Nation/ Okwunalis,0,2,1
Kispiox Band,0,2,1
Kitimat,0,9,3
Kitkatla/ Gitxaala Nation,118,1592,579
Kitsault,0,2,0
Kitselas First Nation,0,1,0
Kitwanga/ Gitwangak Band,0,5,2
Klemtu / Kitasoo Band,16,290,110
Kootenay Bay,0,4,1
Kwadacha/ Fort Ware,61,855,312
Kyuquot,6,124,48
Ladysmith,0,6,1
Lillooet,7,97,35
Lkoosk'uz (Kluskus),0,1,0
Lumby,0,1,0
Lytton,0,3,1
Mackenzie,1,18,6
Masset,7,70,24
Mayne Island,0,10,3
McBride,0,19,6
Merritt,0,10,3
Metlakatla,0,1,0
Mount Currie/ Lil'wat,0,1,0
Nakusp,0,14,6
Nazko,0,1,0
Nelson,0,1,0
Nemaiah Valley/ Xeni Gwet'in First Nation Government,6,124,46
New Denver,0,6,2
Nitinat/ Ditidaht First Nation,0,3,1
Oliver,2,21,7
Pemberton,0,5,2
Pender Island,0,10,4
Port Alberni,0,4,1
Port Alice,9,184,70
Port Hardy,2,27,11
Port McNeil,6,80,29
Port Renfrew/ Pacheedaht First Nation,0,2,1
Port Simpson / Lax Kw'alaams,220,2865,1043
Powell River,0,5,0
Prince George/ Lheidli T'enneh Nation,0,7,1
Prince Rupert,2,29,10
Princeton,0,10,4
Quesnel,3,37,13
Redstone Reserve/Tsi Del Del,1,34,12
Revelstoke,1,14,4
Riske Creek/ Toosey Band/ Tl'esqox,0,1,0
Rock Creek,0,3,1
Salmon Arm,0,4,1
Salt Spring Island,1,28,10
Sechelt,0,14,5
Sirdar,0,1,0
Siska Indian Band,0,3,1
Skidegate,0,4,1
Slocan Park,0,1,0
Smithers,5,48,17
Sointula,2,45,18
Sorrento,0,2,1
South Side,2,37,15
Sparwood,1,19,6
Spences Bridge/ Cook's Ferry Indian Band,0,3,0
Squamish/ Squamish First Nation,0,3,1
Stewart,0,5,1
Sun Peaks,0,1,0
Tachet,0,1,0
Tachie/ Tl'azt'en,0,3,0
Tahsis,0,4,1
Takla Landing,64,805,290
Tatla Lake/Alexis Creek First Nations (Tsideldel)/ Chilanko Forks,11,202,75
Tatlayoko Lake,0,1,0
Telegraph Creek/ Tahltan Band,25,325,116
Terrace/ Kitselas First Nation/ Kitsumkalum Band,1,8,1
Tofino/ Tla-O-Qui-Aht First Nations,0,5,1
Trail,0,1,0
Ts'il Kaz Koh,0,9,3
Tsay Keh Dene,46,607,220
Tumbler Ridge,5,64,23
Valemount,6,71,24
Vanderhoof,3,32,11
Williams Lake,1,25,9
Yukon,0,2,1
Zeballos/ Ehattesaht First Nation,0,7,3
