community_name,Encounters 0-14,Encounters 15-64,Encounters 65+
100 Mile House,0,12,16
Agassiz/Harrison,0,5,7
Alberni Valley/Bamfield,0,0,1
Aldergrove/Otter,0,8,5
Armstrong/Spallumcheen,0,5,6
Arrow Lakes,0,0,1
Bella Coola Valley,0,1,1
Bowen Island/Lions Bay,0,3,1
Burns Lake Town Centre,0,1,1
Campbell River,0,39,62
Campbell River Rural,0,2,4
Castlegar,0,6,10
Cedar/Wellington,0,1,0
Central Coast,0,1,0
Central Cowichan,0,35,45
Central Okanagan Rural West,0,3,16
Central Saanich,0,20,53
Chemainus,0,7,18
City of Langley,0,67,88
Comox,0,29,35
Comox Valley Rural,0,17,16
Courtenay,0,33,49
Cowichan Valley West,0,3,6
Cranbrook,0,16,35
Creston,0,2,8
Dawson Creek,0,12,7
Downtown Kelowna,0,100,180
Downtown Nanaimo,0,146,255
Downtown Vancouver,0,2,0
Downtown Victoria/Vic West,0,448,641
Enderby,0,2,7
Fernie,0,12,8
Fort St John,0,10,4
Fort St. James North,0,2,2
Fraser Lake,0,2,4
Gabriola Island,0,1,27
Garden Village/Cascade/Douglas/Gilpin,0,119,188
Gibsons,0,1,6
Golden,0,1,3
Grand Forks,0,4,9
Guildford,0,1,0
Haida Gwaii North,0,1,0
Haney,0,63,59
Hope,0,6,10
Houston,0,0,1
Juan de Fuca Coast,0,4,0
Kamloops Centre South,0,112,129
Keremeos,0,4,5
Kettle Valley,0,1,6
Kimberley,0,4,5
Kitimat,0,7,7
Kootenay Lake,0,1,5
Ladner,0,48,90
Ladysmith,0,18,24
Lake Country,0,10,11
Langford South,0,1,1
Lillooet,0,4,4
Lower Thompson,0,8,13
Mackenzie,0,2,0
McBride,0,2,0
Merritt,0,3,7
Mount Pleasant,0,513,524
Nanaimo North/Lantzville,0,2,2
Nelson,0,9,23
New Westminster - Central,0,61,63
North Chilliwack,0,72,75
North Mission,0,13,19
North Okanagan/Lumby,0,3,0
North Saanich,0,14,49
North Thompson,0,2,2
North Vancouver City - West,0,93,146
North Vancouver DM - Central,0,0,1
North Vancouver DM - East,0,0,1
Northern Boreal,0,1,0
Oceanside Rural,0,22,25
Parksville,0,23,86
Peace River North Rural,0,2,4
Peace River South Rural,0,2,0
Pemberton,0,1,3
Pender/Galiano/Saturna/Mayne,0,2,16
Penticton,0,34,67
Pitt Meadows,0,13,8
Port Alberni,0,26,31
Port Coquitlam,0,44,35
Port Hardy/Port Alice,0,7,6
Port McNeill/Sointula,0,1,1
Port Moody North/Anmore/Belcarra,0,34,28
Powell River City,0,8,7
Prince George City - Central,0,51,39
Prince Rupert City Centre,0,6,5
Prince Rupert Rural,0,1,3
Princeton,0,4,5
Quadra/Swan Lake,0,1,0
Qualicum Beach,0,22,49
Quesnel City Centre,0,5,6
Revelstoke,0,1,4
Richmond City Centre,0,76,174
Salmon Arm,0,14,19
Salt Spring Island,0,11,30
Sechelt,0,6,16
Sidney,0,21,60
Smithers Rural,0,1,2
Smithers Town Centre,0,2,6
Sooke,0,18,21
South Cariboo,0,3,3
South Chilliwack,0,1,7
South Cowichan,0,23,47
Southern Okanagan,0,24,31
Southwest Coquitlam,0,80,118
Squamish,0,10,10
Summerland,0,14,28
Sunshine Coast Rural,0,1,7
Telegraph Creek,0,0,4
Terrace City Centre,0,8,4
Terrace Rural,0,1,3
Trail,0,12,7
Tsawwassen,0,0,3
Tumbler Ridge,0,2,0
Upper Skeena,0,1,3
Vancouver Island North Remote,0,1,1
Vancouver Island West,0,1,3
Vanderhoof,0,1,0
Vernon Centre/Coldstream,0,53,85
West Abbotsford,0,55,83
West Cariboo,0,1,1
West Coast,0,6,3
West Kelowna,0,45,36
West Vancouver - Lower,0,32,99
West Vancouver - Upper,0,0,1
Whalley,0,234,290
Whistler,0,7,9
White Rock,0,11,36
Williams Lake/East Cariboo,0,11,9
Windermere,0,3,5
qathet Rural,0,1,1
